Cluster,gene_representative,pan_gene_class,product_name,frequency
Cluster 717,562.23088.peg.3450,unique,Uncharacterized outer membrane protein YpjA_14,57
Cluster 731,562.12961.peg.426,core,Miniconductance mechanosensitive channel MscM_1,1969
Cluster 732,562.22780.peg.4748,unique,Protein RhsD_46,9
Cluster 739,562.22930.peg.3621,unique,Uncharacterized lipoprotein YdeK_14,10
Cluster 742,562.45395.peg.143,unique,"Phage tail fiber, side tail fiber protein Stf_453",5
Cluster 749,562.23044.peg.3595,accessory,"Uncharacterized protein YphG, TPR-domain containing_9",1933
Cluster 751,562.23542.peg.4805,accessory,"Phage tail, tail length tape-measure protein H_82",435
Cluster 755,562.7626.peg.3897,unique,Protein RhsD_225,45
Cluster 756,562.22435.peg.286,unique,Putative uncharacterized protein YjiT_2,123
Cluster 760,562.22762.peg.3693,unique,"Type II, 5-methyl-cytosine DNA methyltransferase_6",5
Cluster 762,562.13502.peg.1770,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_5",52
Cluster 768,562.7581.peg.3245,unique,Probable ATP-dependent helicase lhr (EC 3.6.1.-)_15,23
Cluster 769,562.22439.peg.3242,accessory,DEAD/DEAH box helicase-like protein_1,202
Cluster 772,562.7567.peg.4363,unique,Uncharacterized outer membrane protein YpjA_55,7
Cluster 776,562.22853.peg.3476,unique,Uncharacterized protein YehI_7,5
Cluster 777,562.23049.peg.5052,accessory,Antigen 43_43,656
Cluster 780,562.42842.peg.3382,unique,"Phage tail fiber, side tail fiber protein Stf_441",5
Cluster 781,562.22765.peg.4218,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_25,42
Cluster 782,562.23439.peg.4542,unique,T6SS PAAR-repeat protein / RhaS protein_29,5
Cluster 783,562.23903.peg.4711,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_31",21
Cluster 789,562.22452.peg.4657,accessory,"Phage tail, tail length tape-measure protein H_6",459
Cluster 790,562.22633.peg.4411,unique,DEAD/DEAH box helicase-like protein_3,5
Cluster 791,562.22882.peg.1002,accessory,Fimbriae usher protein StfC_16,1000
Cluster 792,562.23339.peg.3993,unique,Per-activated serine protease autotransporter enterotoxin EspC_30,11
Cluster 794,562.12959.peg.59,accessory,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_2",579
Cluster 795,562.22463.peg.1172,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_15",75
Cluster 797,562.7734.peg.2680,accessory,"Copper/silver efflux RND transporter, transmembrane protein CusA_5",1920
Cluster 801,562.22719.peg.4331,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_21,10
Cluster 802,562.23453.peg.4562,unique,Protein RhsB_21,127
Cluster 803,562.7671.peg.4379,unique,Protein RhsD_254,36
Cluster 804,562.7740.peg.3952,unique,Protein RhsD_287,10
Cluster 810,562.22664.peg.2181,accessory,CRISPR-associated helicase Cas3_12,269
Cluster 815,562.22431.peg.1556,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_12",11
Cluster 816,562.22532.peg.418,unique,Per-activated serine protease autotransporter enterotoxin EspC_8,5
Cluster 818,562.23675.peg.4891,unique,Putative adhesin_13,12
Cluster 819,562.16326.peg.922,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_6",45
Cluster 822,562.23586.peg.3935,unique,Putative adhesin_12,29
Cluster 824,562.22480.peg.4746,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_19",15
Cluster 825,562.22569.peg.4912,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_39,29
Cluster 826,562.22746.peg.2814,accessory,Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)_13,1691
Cluster 830,562.13502.peg.4486,accessory,"Phage tail, tail length tape-measure protein H_2",201
Cluster 833,562.42818.peg.4115,accessory,Ribonuclease E (EC 3.1.26.12)_8,1931
Cluster 834,562.23558.peg.4155,unique,"Phage tail fiber, side tail fiber protein Stf_282",23
Cluster 835,562.42818.peg.3149,core,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)_1,1970
Cluster 839,562.7724.peg.5116,unique,"Phage tail, tail length tape-measure protein H_223",10
Cluster 846,562.22477.peg.3100,unique,COG0419: ATPase involved in DNA repair_1,21
Cluster 848,562.7681.peg.4690,unique,T6SS component TssM (IcmF/VasK)_44,6
Cluster 855,562.42763.peg.4701,unique,Uncharacterized lipoprotein YdeK_41,6
Cluster 856,562.23872.peg.2165,unique,Bacteriophage N4 adsorption protein B_23,26
Cluster 857,562.28389.peg.1588,unique,"Phage tail fiber, side tail fiber protein Stf_332",5
Cluster 864,562.42843.peg.4272,unique,Phage tape measure protein Mup42_66,20
Cluster 865,562.22434.peg.640,unique,Ribonuclease E (EC 3.1.26.12)_2,33
Cluster 866,562.7584.peg.50,unique,AIDA autotransporter-like protein_1,6
Cluster 870,562.23439.peg.2438,accessory,"Phage tail, tail length tape-measure protein H_77",486
Cluster 871,562.7691.peg.3378,accessory,Uncharacterized [4Fe4S] protein YgfK_12,1918
Cluster 873,562.22754.peg.4382,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_62,27
Cluster 883,562.12959.peg.4676,core,"Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)_1",1967
Cluster 884,562.12961.peg.2344,unique,"Copper/silver efflux RND transporter, transmembrane protein CusA_1",121
Cluster 887,562.13502.peg.4887,core,Exonuclease SbcC_2,1960
Cluster 888,562.13502.peg.84,unique,"Conjugative transfer protein TraI, relaxase_2",9
Cluster 891,562.22643.peg.3127,core,"Aminoglycosides efflux system AcrAD-TolC, inner-membrane proton/drug antiporter AcrD (RND type)_5",1948
Cluster 896,562.42641.peg.3218,unique,VgrG protein_161,8
Cluster 902,562.22514.peg.1325,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_24",39
Cluster 910,562.23443.peg.1908,accessory,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)_12",1884
Cluster 913,562.22946.peg.369,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_28,17
Cluster 917,562.12959.peg.2794,core,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtB (RND type)_1",1967
Cluster 918,562.22629.peg.4742,unique,Type III restriction-modification system methylation subunit (EC 2.1.1.72)_10,15
Cluster 925,562.22520.peg.4514,unique,Rhs-family protein_9,40
Cluster 926,562.22524.peg.3016,unique,Bacteriophage eliminase_8,163
Cluster 928,562.23697.peg.3554,accessory,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_52",272
Cluster 930,562.23172.peg.4643,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_24",13
Cluster 932,562.42818.peg.4703,core,"Multidrug efflux system MdtEF-TolC, inner-membrane proton/drug antiporter MdtF (RND type)_7",1959
Cluster 939,562.12959.peg.3586,accessory,"RND efflux system, inner membrane transporter_1",1396
Cluster 941,562.22477.peg.3103,unique,RNA polymerase associated protein RapA_2,21
Cluster 944,562.16326.peg.2773,unique,Type III restriction-modification system methylation subunit (EC 2.1.1.72)_1,28
Cluster 945,562.22449.peg.4468,unique,Type III restriction-modification system methylation subunit (EC 2.1.1.72)_7,12
Cluster 947,562.22463.peg.3435,unique,Putative Rhs-family protein_3,19
Cluster 949,562.12959.peg.4857,accessory,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_1",345
Cluster 952,562.22524.peg.4796,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_25",41
Cluster 954,562.12959.peg.1547,core,"Evolved beta-D-galactosidase, alpha subunit_1",1961
Cluster 959,562.42728.peg.466,unique,alpha-mannosidase (EC 3.2.1.24)_1,102
Cluster 960,562.22464.peg.4382,unique,Cellulose synthase operon protein C_7,24
Cluster 961,562.42818.peg.1751,core,beta-galactosidase (EC 3.2.1.23)_11,1956
Cluster 965,562.23773.peg.1228,accessory,Phage tail length tape-measure protein GpT_61,358
Cluster 968,562.13502.peg.2965,unique,"Phage tail, tail length tape-measure protein H_3",150
Cluster 969,562.22430.peg.4557,accessory,RTX toxins determinant A and related Ca2+-binding proteins_2,430
Cluster 970,562.23112.peg.237,unique,Phage tail length tape-measure protein GpT_38,5
Cluster 971,562.22439.peg.3246,accessory,"Type III restriction enzyme, res subunit:DEAD/DEAH box helicase, N-terminal_1",202
Cluster 972,562.42724.peg.4882,unique,"Phage tail fiber, side tail fiber protein Stf_402",10
Cluster 973,562.42818.peg.708,unique,Tetrathionate reductase subunit A_3,6
Cluster 974,562.12961.peg.2601,unique,kinase_1,6
Cluster 975,562.23142.peg.3156,accessory,Uncharacterized protein YaiT_14,1343
Cluster 982,562.16327.peg.5472,accessory,Mobile element protein_62,402
Cluster 985,562.22436.peg.3493,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_14",9
Cluster 990,562.42857.peg.467,accessory,Formate dehydrogenase N alpha subunit (EC 1.2.1.2) @ selenocysteine-containing_11,1796
Cluster 992,562.12959.peg.3293,core,Uncharacterized protein YdiJ_1,1968
Cluster 999,562.13502.peg.3120,unique,IncI1 plasmid conjugative transfer protein TraU_1,143
Cluster 1000,562.22430.peg.4561,accessory,Cytotoxic necrotizing factor_1,343
Cluster 1001,562.22447.peg.4256,accessory,IncI1 plasmid conjugative transfer protein TraU_3,200
Cluster 1003,562.22745.peg.3289,unique,Phage protein_273,6
Cluster 1004,562.23377.peg.4025,unique,"Type II, 5-methyl-cytosine DNA methyltransferase_14",6
Cluster 1006,562.22918.peg.682,unique,Capsular polysaccharide biosynthesis protein_14,73
Cluster 1007,562.23743.peg.1329,unique,UPF0192 protein YfaS_13,16
Cluster 1008,562.22453.peg.3859,unique,"Conjugative transfer protein TraI, relaxase_5",9
Cluster 1010,562.23453.peg.4535,unique,Rhs-family protein_38,29
Cluster 1011,562.22430.peg.4316,accessory,Polyketide synthase modules and related proteins_4,576
Cluster 1012,562.22643.peg.2812,unique,Molybdate metabolism regulator_12,19
Cluster 1016,562.12959.peg.5463,unique,Transposase_6,16
Cluster 1020,562.34088.peg.2055,unique,"Phage tail fiber, side tail fiber protein Stf_346",22
Cluster 1025,562.13502.peg.853,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_4",5
Cluster 1026,562.16324.peg.5481,unique,Mobile element protein_43,15
Cluster 1027,562.22434.peg.3560,accessory,Uncharacterized protein YaiT_2,217
Cluster 1028,562.22452.peg.2336,accessory,Phage tail length tape-measure protein GpT_5,535
Cluster 1032,562.22837.peg.4853,accessory,Mobile element protein_456,246
Cluster 1034,562.16324.peg.5512,unique,Mobile element protein_46,34
Cluster 1038,562.7567.peg.3621,unique,putative surface-exposed virulence protein_27,5
Cluster 1042,562.22628.peg.2003,unique,Molybdate metabolism regulator_11,68
Cluster 1047,562.23385.peg.5031,unique,Mobile element protein_621,5
Cluster 1049,562.12960.peg.5367,unique,Phage protein_10,114
Cluster 1051,562.22636.peg.4470,unique,Mobile element protein_322,5
Cluster 1052,562.23121.peg.4935,unique,TnpA transposase_6,11
Cluster 1056,562.23255.peg.5146,unique,TnpA transposase_7,41
Cluster 1058,562.22464.peg.462,unique,"Phage tail fiber, side tail fiber protein Stf_30",5
Cluster 1060,562.22470.peg.1032,unique,Uncharacterized protein YaiT_5,16
Cluster 1061,562.7659.peg.4455,unique,Mobile element protein_1446,5
Cluster 1062,562.7707.peg.4618,unique,Transposase_602,108
Cluster 1063,562.22875.peg.460,unique,Phage tail fiber_6,13
Cluster 1064,562.12959.peg.4600,accessory,Bacteriophage N4 adsorption protein A_1,1859
Cluster 1065,562.12960.peg.5027,unique,"Conjugative transfer protein TraI, relaxase_1",16
Cluster 1066,562.23288.peg.864,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_43",11
Cluster 1067,562.23302.peg.2278,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_44",20
Cluster 1069,562.34088.peg.4110,unique,T6SS AAA+ chaperone ClpV (TssH)_31,5
Cluster 1073,562.22727.peg.5045,unique,transposase Tn3_2,12
Cluster 1074,562.31460.peg.1273,unique,"DNA primase, phage associated_34",7
Cluster 1075,562.31464.peg.4414,unique,Type III restriction-modification system restriction subunit (EC 3.1.21.5)_4,60
Cluster 1084,562.22941.peg.1639,unique,Uncharacterized protein YfaL_10,28
Cluster 1085,562.12959.peg.4166,accessory,Phage tape measure protein Mup42_1,279
Cluster 1086,562.22842.peg.4737,accessory,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_73,290
Cluster 1087,562.19186.peg.4253,accessory,Uncharacterized protein YaiT_1,232
Cluster 1098,562.22466.peg.1505,unique,Phage tail length tape-measure protein GpT_7,9
Cluster 1100,562.7571.peg.4904,accessory,"Phage tail tip, host specificity protein J_200",289
Cluster 1108,562.7652.peg.1014,unique,Uncharacterized protein YfaL_24,6
Cluster 1109,562.22444.peg.4258,unique,"Helicase, SNF2/RAD54 family_2",59
Cluster 1111,562.22697.peg.119,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_31",9
Cluster 1113,562.23706.peg.1845,unique,Type III restriction-modification system restriction subunit (EC 3.1.21.5)_3,23
Cluster 1114,562.23536.peg.3810,unique,Uncharacterized lipoprotein YdeK_26,7
Cluster 1115,562.28838.peg.4878,accessory,Transposase_415,188
Cluster 1118,562.23845.peg.459,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_26",5
Cluster 1120,562.12959.peg.5098,core,RNA polymerase associated protein RapA_1,1970
Cluster 1121,562.22902.peg.3535,unique,Uncharacterized outer membrane protein YpjA_12,39
Cluster 1124,562.19184.peg.1145,accessory,Uncharacterized protein YcgV_2,599
Cluster 1126,562.22643.peg.1746,unique,Uncharacterized protein YaiT_8,20
Cluster 1127,562.22868.peg.3883,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_11,9
Cluster 1129,562.22839.peg.853,accessory,"Phage replication protein GpA, endonuclease_26",478
Cluster 1131,562.12959.peg.2021,core,Protease III precursor (EC 3.4.24.55)_1,1968
Cluster 1133,562.19186.peg.4752,unique,Transposase_39,30
Cluster 1134,562.22494.peg.5009,unique,"Phage tail tip, host specificity protein J_9",39
Cluster 1135,562.22510.peg.4484,unique,Phage tape measure protein Mup42_7,16
Cluster 1138,562.22453.peg.4304,unique,"ATP-dependent Clp protease ATP-binding subunit PA0459, ClpC family_1",15
Cluster 1142,562.12959.peg.1957,core,Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)_1,1970
Cluster 1147,562.12959.peg.1979,accessory,Possible hypoxanthine oxidase XdhD (EC 1.-.-.-)_1,1918
Cluster 1148,562.19821.peg.1373,unique,Type III restriction-modification enzyme helicase subunit_1,27
Cluster 1150,562.12959.peg.1856,unique,"Type IV secretory pathway, VirB4 components_1",16
Cluster 1152,562.22479.peg.4177,unique,"Phage tail fiber, side tail fiber protein Stf_36",7
Cluster 1153,562.22858.peg.3055,unique,Invasin_32,8
Cluster 1155,562.23304.peg.1945,unique,"Type IV secretory pathway, VirB4 components_4",25
Cluster 1156,562.28841.peg.3170,unique,UPF0192 protein YfaS_17,21
Cluster 1158,562.22434.peg.4881,unique,putative ATP-dependent helicase_1,59
Cluster 1160,562.22521.peg.4689,unique,Phage tail fiber protein GpH_33,13
Cluster 1163,562.12959.peg.214,core,Valyl-tRNA synthetase (EC 6.1.1.9)_1,1970
Cluster 1165,562.12961.peg.698,core,Isoleucyl-tRNA synthetase (EC 6.1.1.5)_1,1970
Cluster 1166,562.22439.peg.4928,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_6,147
Cluster 1167,562.22741.peg.2262,unique,"Phage tail tip, host specificity protein J_36",52
Cluster 1168,562.23123.peg.1111,unique,Uncharacterized protein YehI_10,15
Cluster 1169,562.23558.peg.5157,accessory,Antigen 43_65,428
Cluster 1170,562.42857.peg.3601,unique,Sensor histidine kinase RcsC (EC 2.7.13.3)_6,5
Cluster 1171,562.7626.peg.2964,unique,Probable ATP-dependent helicase lhr (EC 3.6.1.-)_17,7
Cluster 1173,562.12959.peg.2647,core,Sensor histidine kinase RcsC (EC 2.7.13.3)_1,1962
Cluster 1175,562.16466.peg.2323,unique,"Type IV secretory pathway, VirB4 components_2",14
Cluster 1176,562.19821.peg.1369,unique,"Helicase, SNF2/RAD54 family_1",28
Cluster 1177,562.22432.peg.5147,unique,ORF182_1,78
Cluster 1179,562.22715.peg.4999,accessory,Antigen 43_28,320
Cluster 1181,562.23714.peg.5113,unique,"Phage tail tip, host specificity protein J_107",94
Cluster 1182,562.42655.peg.4532,unique,T6SS AAA+ chaperone ClpV (TssH)_32,123
Cluster 1183,562.22435.peg.4278,accessory,IncF plasmid conjugative transfer protein TraG_4,1211
Cluster 1185,562.22524.peg.4069,unique,"Phage tail fiber, side tail fiber protein Stf_58",15
Cluster 1186,562.22915.peg.1820,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_37,13
Cluster 1188,562.7623.peg.4662,unique,"Phage tail, tail length tape-measure protein H_159",8
